"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"15/01/2024";"0000";"21,8";"88,0";"925,2";"2,1";"150,0";"2,5";"";"31,3";"";""
"15/01/2024";"0300";"";"";"";"";"";"";"";"";"";""
"15/01/2024";"0600";"";"";"";"";"";"";"";"";"";""
"15/01/2024";"0900";"";"";"";"";"";"";"";"";"";""
"15/01/2024";"1200";"25,6";"73,0";"925,8";"5,1";"350,0";"6,3";"";"";"21,3";"0,0"
"15/01/2024";"1500";"";"";"";"";"";"";"";"";"";""
"15/01/2024";"1800";"31,3";"45,0";"923,4";"4,6";"310,0";"6,3";"";"";"";""
"15/01/2024";"2100";"";"";"";"";"";"";"";"";"";""
"16/01/2024";"0000";"27,1";"61,0";"924,9";"3,1";"310,0";"0,0";"";"32,1";"";""
"16/01/2024";"0300";"";"";"";"";"";"";"";"";"";""
"16/01/2024";"0600";"";"";"";"";"";"";"";"";"";""
"16/01/2024";"0900";"";"";"";"";"";"";"";"";"";""
"16/01/2024";"1200";"26,8";"65,0";"926,1";"6,7";"360,0";"1,3";"";"";"23,5";"0,0"
"16/01/2024";"1500";"";"";"";"";"";"";"";"";"";""
"16/01/2024";"1800";"32,1";"40,0";"922,9";"6,2";"320,0";"6,3";"";"";"";""
"16/01/2024";"2100";"";"";"";"";"";"";"";"";"";""
"17/01/2024";"0000";"28,1";"65,0";"924,4";"2,1";"120,0";"0,0";"";"32,0";"";""
"17/01/2024";"0300";"";"";"";"";"";"";"";"";"";""
"17/01/2024";"0600";"";"";"";"";"";"";"";"";"";""
"17/01/2024";"0900";"";"";"";"";"";"";"";"";"";""
"17/01/2024";"1200";"28,8";"58,0";"926,1";"4,6";"330,0";"5,0";"";"";"25,3";"0,0"
"17/01/2024";"1500";"";"";"";"";"";"";"";"";"";""
"17/01/2024";"1800";"28,9";"63,0";"924,0";"6,2";"190,0";"7,5";"";"";"";""
"17/01/2024";"2100";"";"";"";"";"";"";"";"";"";""
"18/01/2024";"0000";"23,2";"86,0";"925,9";"2,6";"140,0";"2,5";"";"32,3";"";""
"18/01/2024";"0300";"";"";"";"";"";"";"";"";"";""
"18/01/2024";"0600";"";"";"";"";"";"";"";"";"";""
"18/01/2024";"0900";"";"";"";"";"";"";"";"";"";""
"18/01/2024";"1200";"27,2";"67,0";"925,8";"2,1";"10,0";"0,0";"";"";"22,9";"3,0"
"18/01/2024";"1500";"";"";"";"";"";"";"";"";"";""
"18/01/2024";"1800";"29,8";"64,0";"922,5";"5,7";"150,0";"7,5";"";"";"";""
"18/01/2024";"2100";"";"";"";"";"";"";"";"";"";""
"19/01/2024";"0000";"23,9";"86,0";"924,9";"2,6";"160,0";"10,0";"";"30,4";"";""
"19/01/2024";"0300";"";"";"";"";"";"";"";"";"";""
"19/01/2024";"0600";"";"";"";"";"";"";"";"";"";""
"19/01/2024";"0900";"";"";"";"";"";"";"";"";"";""
"19/01/2024";"1200";"24,2";"67,0";"924,5";"6,2";"320,0";"8,8";"";"";"21,7";"0,0"
"19/01/2024";"1500";"";"";"";"";"";"";"";"";"";""
"19/01/2024";"1800";"30,3";"54,0";"920,6";"4,6";"320,0";"3,8";"";"";"";""
"19/01/2024";"2100";"";"";"";"";"";"";"";"";"";""
"20/01/2024";"0000";"22,1";"89,0";"922,4";"1,5";"60,0";"0,0";"";"27,4";"";""
"20/01/2024";"0300";"";"";"";"";"";"";"";"";"";""
"20/01/2024";"0600";"";"";"";"";"";"";"";"";"";""
"20/01/2024";"0900";"";"";"";"";"";"";"";"";"";""
"20/01/2024";"1200";"23,1";"78,0";"921,7";"4,6";"330,0";"7,5";"";"";"20,6";"33,0"
"20/01/2024";"1500";"";"";"";"";"";"";"";"";"";""
"20/01/2024";"1800";"26,5";"69,0";"919,4";"5,7";"350,0";"8,8";"";"";"";""
"20/01/2024";"2100";"";"";"";"";"";"";"";"";"";""
"21/01/2024";"0000";"21,1";"90,0";"922,1";"2,6";"300,0";"10,0";"";"25,8";"";""
"21/01/2024";"0300";"";"";"";"";"";"";"";"";"";""
"21/01/2024";"0600";"";"";"";"";"";"";"";"";"";""
"21/01/2024";"0900";"";"";"";"";"";"";"";"";"";""
"21/01/2024";"1200";"23,5";"75,0";"923,2";"3,1";"250,0";"7,5";"";"";"20,3";"23,0"
"21/01/2024";"1500";"";"";"";"";"";"";"";"";"";""
"21/01/2024";"1800";"22,3";"90,0";"923,0";"2,6";"200,0";"7,5";"";"";"";""
"21/01/2024";"2100";"";"";"";"";"";"";"";"";"";""
"22/01/2024";"0000";"20,4";"91,0";"925,3";"5,7";"170,0";"7,5";"";"24,0";"";""
"22/01/2024";"0300";"";"";"";"";"";"";"";"";"";""
"22/01/2024";"0600";"";"";"";"";"";"";"";"";"";""
"22/01/2024";"0900";"";"";"";"";"";"";"";"";"";""
"22/01/2024";"1200";"21,1";"82,0";"926,9";"4,6";"150,0";"7,5";"";"";"18,8";"9,0"
"22/01/2024";"1500";"";"";"";"";"";"";"";"";"";""
"22/01/2024";"1800";"23,3";"69,0";"924,8";"6,2";"160,0";"6,3";"";"";"";""
"22/01/2024";"2100";"";"";"";"";"";"";"";"";"";""
"23/01/2024";"0000";"19,4";"84,0";"926,4";"5,1";"140,0";"6,3";"";"19,8";"";""
"23/01/2024";"0300";"";"";"";"";"";"";"";"";"";""
"23/01/2024";"0600";"";"";"";"";"";"";"";"";"";""
"23/01/2024";"0900";"";"";"";"";"";"";"";"";"";""
"23/01/2024";"1200";"18,3";"92,0";"925,6";"4,1";"160,0";"7,5";"";"";"18,8";"6,0"
"23/01/2024";"1500";"";"";"";"";"";"";"";"";"";""
"23/01/2024";"1800";"18,1";"91,0";"924,6";"7,2";"150,0";"10,0";"";"";"";""
"23/01/2024";"2100";"";"";"";"";"";"";"";"";"";""
"24/01/2024";"0000";"17,1";"90,0";"924,1";"4,1";"120,0";"10,0";"";"22,9";"";""
"24/01/2024";"0300";"";"";"";"";"";"";"";"";"";""
"24/01/2024";"0600";"";"";"";"";"";"";"";"";"";""
"24/01/2024";"0900";"";"";"";"";"";"";"";"";"";""
"24/01/2024";"1200";"19,8";"76,0";"923,0";"4,1";"130,0";"8,8";"";"";"15,8";"19,0"
"24/01/2024";"1500";"";"";"";"";"";"";"";"";"";""
"24/01/2024";"1800";"22,9";"70,0";"921,7";"4,6";"180,0";"8,8";"";"";"";""
"24/01/2024";"2100";"";"";"";"";"";"";"";"";"";""
"25/01/2024";"0000";"17,1";"87,0";"923,1";"7,2";"180,0";"7,5";"";"20,5";"";""
"25/01/2024";"0300";"";"";"";"";"";"";"";"";"";""
"25/01/2024";"0600";"";"";"";"";"";"";"";"";"";""
"25/01/2024";"0900";"";"";"";"";"";"";"";"";"";""
"25/01/2024";"1200";"19,0";"88,0";"922,6";"5,1";"180,0";"10,0";"";"";"16,8";"0,6"
"25/01/2024";"1500";"";"";"";"";"";"";"";"";"";""
"25/01/2024";"1800";"19,7";"80,0";"923,2";"7,7";"190,0";"6,3";"";"";"";""
"25/01/2024";"2100";"";"";"";"";"";"";"";"";"";""
"26/01/2024";"0000";"16,2";"81,0";"925,1";"5,7";"180,0";"7,5";"";"21,3";"";""
"26/01/2024";"0300";"";"";"";"";"";"";"";"";"";""
"26/01/2024";"0600";"";"";"";"";"";"";"";"";"";""
"26/01/2024";"0900";"";"";"";"";"";"";"";"";"";""
"26/01/2024";"1200";"17,9";"86,0";"925,4";"5,7";"170,0";"8,8";"";"";"16,1";"0,1"
"26/01/2024";"1500";"";"";"";"";"";"";"";"";"";""
"26/01/2024";"1800";"20,6";"75,0";"923,6";"6,2";"170,0";"10,0";"";"";"";""
"26/01/2024";"2100";"";"";"";"";"";"";"";"";"";""
"27/01/2024";"0000";"17,8";"91,0";"924,8";"4,1";"160,0";"10,0";"";"25,5";"";""
"27/01/2024";"0300";"";"";"";"";"";"";"";"";"";""
"27/01/2024";"0600";"";"";"";"";"";"";"";"";"";""
"27/01/2024";"0900";"";"";"";"";"";"";"";"";"";""
"27/01/2024";"1200";"19,9";"84,0";"925,3";"3,1";"140,0";"8,8";"";"";"17,5";"0,0"
"27/01/2024";"1500";"";"";"";"";"";"";"";"";"";""
"27/01/2024";"1800";"25,5";"58,0";"922,7";"3,1";"190,0";"7,5";"";"";"";""
"27/01/2024";"2100";"";"";"";"";"";"";"";"";"";""
"28/01/2024";"0000";"19,6";"89,0";"925,3";"1,0";"130,0";"8,8";"";"24,9";"";""
"28/01/2024";"0300";"";"";"";"";"";"";"";"";"";""
"28/01/2024";"0600";"";"";"";"";"";"";"";"";"";""
"28/01/2024";"0900";"";"";"";"";"";"";"";"";"";""
"28/01/2024";"1200";"20,7";"82,0";"925,8";"2,1";"130,0";"8,8";"";"";"18,8";"20,0"
"28/01/2024";"1500";"";"";"";"";"";"";"";"";"";""
"28/01/2024";"1800";"23,3";"60,0";"923,9";"1,5";"30,0";"7,5";"";"";"";""
"28/01/2024";"2100";"";"";"";"";"";"";"";"";"";""
"29/01/2024";"0000";"19,4";"89,0";"925,2";"3,1";"150,0";"6,3";"";"28,6";"";""
"29/01/2024";"0300";"";"";"";"";"";"";"";"";"";""
"29/01/2024";"0600";"";"";"";"";"";"";"";"";"";""
"29/01/2024";"0900";"";"";"";"";"";"";"";"";"";""
"29/01/2024";"1200";"23,2";"66,0";"925,6";"2,6";"360,0";"2,5";"";"";"17,4";"25,0"
"29/01/2024";"1500";"";"";"";"";"";"";"";"";"";""
"29/01/2024";"1800";"28,4";"35,0";"923,4";"5,1";"310,0";"7,5";"";"";"";""
"29/01/2024";"2100";"";"";"";"";"";"";"";"";"";""
"30/01/2024";"0000";"24,3";"56,0";"923,8";"2,1";"310,0";"0,0";"";"31,1";"";""
"30/01/2024";"0300";"";"";"";"";"";"";"";"";"";""
"30/01/2024";"0600";"";"";"";"";"";"";"";"";"";""
"30/01/2024";"0900";"";"";"";"";"";"";"";"";"";""
"30/01/2024";"1200";"25,4";"56,0";"924,5";"3,6";"310,0";"0,0";"";"";"20,5";"0,0"
"30/01/2024";"1500";"";"";"";"";"";"";"";"";"";""
"30/01/2024";"1800";"31,0";"27,0";"922,5";"3,1";"330,0";"5,0";"";"";"";""
"30/01/2024";"2100";"";"";"";"";"";"";"";"";"";""
"31/01/2024";"0000";"25,0";"60,0";"923,8";"2,1";"100,0";"0,0";"";"29,9";"";""
"31/01/2024";"0300";"";"";"";"";"";"";"";"";"";""
"31/01/2024";"0600";"";"";"";"";"";"";"";"";"";""
"31/01/2024";"0900";"";"";"";"";"";"";"";"";"";""
"31/01/2024";"1200";"25,0";"68,0";"925,5";"1,5";"120,0";"0,0";"";"";"22,2";"0,0"
"31/01/2024";"1500";"";"";"";"";"";"";"";"";"";""
"31/01/2024";"1800";"23,1";"55,0";"924,1";"9,3";"190,0";"8,8";"";"";"";""
"31/01/2024";"2100";"";"";"";"";"";"";"";"";"";""
"01/02/2024";"0000";"19,9";"77,0";"926,5";"3,6";"50,0";"10,0";"";"27,2";"";""
"01/02/2024";"0300";"";"";"";"";"";"";"";"";"";""
"01/02/2024";"0600";"";"";"";"";"";"";"";"";"";""
"01/02/2024";"0900";"";"";"";"";"";"";"";"";"";""
"01/02/2024";"1200";"23,8";"62,0";"927,7";"0,0";"0,0";"5,0";"";"";"18,2";"8,0"
"01/02/2024";"1500";"";"";"";"";"";"";"";"";"";""
"01/02/2024";"1800";"22,2";"83,0";"927,5";"6,7";"130,0";"0,0";"";"";"";""
"01/02/2024";"2100";"";"";"";"";"";"";"";"";"";""
"02/02/2024";"0000";"20,6";"85,0";"928,5";"4,1";"130,0";"7,5";"";"23,0";"";""
"02/02/2024";"0300";"";"";"";"";"";"";"";"";"";""
"02/02/2024";"0600";"";"";"";"";"";"";"";"";"";""
"02/02/2024";"0900";"";"";"";"";"";"";"";"";"";""
"02/02/2024";"1200";"22,7";"75,0";"929,7";"4,1";"130,0";"7,5";"";"";"18,5";"5,0"
"02/02/2024";"1500";"";"";"";"";"";"";"";"";"";""
"02/02/2024";"1800";"20,1";"83,0";"928,4";"1,0";"320,0";"10,0";"";"";"";""
"02/02/2024";"2100";"";"";"";"";"";"";"";"";"";""
"03/02/2024";"0000";"19,9";"84,0";"928,6";"2,6";"100,0";"7,5";"";"26,9";"";""
"03/02/2024";"0300";"";"";"";"";"";"";"";"";"";""
"03/02/2024";"0600";"";"";"";"";"";"";"";"";"";""
"03/02/2024";"0900";"";"";"";"";"";"";"";"";"";""
"03/02/2024";"1200";"22,0";"78,0";"929,1";"3,6";"70,0";"8,8";"";"";"19,7";"6,0"
"03/02/2024";"1500";"";"";"";"";"";"";"";"";"";""
"03/02/2024";"1800";"26,7";"58,0";"927,5";"1,5";"110,0";"10,0";"";"";"";""
"03/02/2024";"2100";"";"";"";"";"";"";"";"";"";""
"04/02/2024";"0000";"21,8";"88,0";"927,8";"3,1";"160,0";"8,8";"";"28,2";"";""
"04/02/2024";"0300";"";"";"";"";"";"";"";"";"";""
"04/02/2024";"0600";"";"";"";"";"";"";"";"";"";""
"04/02/2024";"0900";"";"";"";"";"";"";"";"";"";""
"04/02/2024";"1200";"23,6";"69,0";"928,3";"2,1";"20,0";"6,3";"";"";"20,8";"0,0"
"04/02/2024";"1500";"";"";"";"";"";"";"";"";"";""
"04/02/2024";"1800";"20,1";"95,0";"927,2";"2,6";"110,0";"10,0";"";"";"";""
"04/02/2024";"2100";"";"";"";"";"";"";"";"";"";""
"05/02/2024";"0000";"20,1";"76,0";"927,6";"2,6";"50,0";"10,0";"";"29,7";"";""
"05/02/2024";"0300";"";"";"";"";"";"";"";"";"";""
"05/02/2024";"0600";"";"";"";"";"";"";"";"";"";""
"05/02/2024";"0900";"";"";"";"";"";"";"";"";"";""
"05/02/2024";"1200";"24,3";"63,0";"928,2";"1,0";"70,0";"3,8";"";"";"18,3";"22,0"
"05/02/2024";"1500";"";"";"";"";"";"";"";"";"";""
"05/02/2024";"1800";"29,4";"37,0";"925,4";"2,6";"170,0";"2,5";"";"";"";""
"05/02/2024";"2100";"";"";"";"";"";"";"";"";"";""
"06/02/2024";"0000";"22,0";"70,0";"927,2";"3,6";"150,0";"0,0";"";"28,8";"";""
"06/02/2024";"0300";"";"";"";"";"";"";"";"";"";""
"06/02/2024";"0600";"";"";"";"";"";"";"";"";"";""
"06/02/2024";"0900";"";"";"";"";"";"";"";"";"";""
"06/02/2024";"1200";"26,2";"61,0";"928,7";"1,0";"30,0";"0,0";"";"";"20,6";"0,0"
"06/02/2024";"1500";"";"";"";"";"";"";"";"";"";""
"06/02/2024";"1800";"28,8";"56,0";"926,6";"5,1";"160,0";"6,3";"";"";"";""
"06/02/2024";"2100";"";"";"";"";"";"";"";"";"";""
"07/02/2024";"0000";"22,4";"79,0";"927,5";"3,1";"130,0";"2,5";"";"30,8";"";""
"07/02/2024";"0300";"";"";"";"";"";"";"";"";"";""
"07/02/2024";"0600";"";"";"";"";"";"";"";"";"";""
"07/02/2024";"0900";"";"";"";"";"";"";"";"";"";""
"07/02/2024";"1200";"25,2";"66,0";"926,8";"1,5";"120,0";"6,3";"";"";"20,4";"0,0"
"07/02/2024";"1500";"";"";"";"";"";"";"";"";"";""
"07/02/2024";"1800";"27,7";"65,0";"923,8";"7,2";"150,0";"8,8";"";"";"";""
"07/02/2024";"2100";"";"";"";"";"";"";"";"";"";""
"08/02/2024";"0000";"22,2";"78,0";"925,4";"1,5";"110,0";"0,0";"";"30,4";"";""
"08/02/2024";"0300";"";"";"";"";"";"";"";"";"";""
"08/02/2024";"0600";"";"";"";"";"";"";"";"";"";""
"08/02/2024";"0900";"";"";"";"";"";"";"";"";"";""
"08/02/2024";"1200";"";"";"";"";"";"";"";"";"";""
"08/02/2024";"1500";"";"";"";"";"";"";"";"";"";""
"08/02/2024";"1800";"28,3";"62,0";"923,0";"6,7";"150,0";"5,0";"";"";"";""
"08/02/2024";"2100";"";"";"";"";"";"";"";"";"";""
"09/02/2024";"0000";"23,0";"79,0";"925,5";"3,6";"130,0";"6,3";"";"30,5";"";""
"09/02/2024";"0300";"";"";"";"";"";"";"";"";"";""
"09/02/2024";"0600";"";"";"";"";"";"";"";"";"";""
"09/02/2024";"0900";"";"";"";"";"";"";"";"";"";""
"09/02/2024";"1200";"25,3";"63,0";"926,4";"2,6";"60,0";"0,0";"";"";"21,1";"0,0"
"09/02/2024";"1500";"";"";"";"";"";"";"";"";"";""
"09/02/2024";"1800";"27,8";"64,0";"925,5";"7,7";"160,0";"5,0";"";"";"";""
"09/02/2024";"2100";"";"";"";"";"";"";"";"";"";""
"10/02/2024";"0000";"23,4";"80,0";"927,2";"4,1";"140,0";"6,3";"";"31,2";"";""
"10/02/2024";"0300";"";"";"";"";"";"";"";"";"";""
"10/02/2024";"0600";"";"";"";"";"";"";"";"";"";""
"10/02/2024";"0900";"";"";"";"";"";"";"";"";"";""
"10/02/2024";"1200";"25,2";"68,0";"928,4";"4,1";"100,0";"2,5";"";"";"21,5";"0,0"
"10/02/2024";"1500";"";"";"";"";"";"";"";"";"";""
"10/02/2024";"1800";"29,3";"56,0";"926,0";"7,2";"170,0";"8,8";"";"";"";""
"10/02/2024";"2100";"";"";"";"";"";"";"";"";"";""
